accountsservice 0.6.55-3
acpi 1.7-3
acpid 2.0.32-2
alsa-firmware 1.2.1-2
alsa-plugins 1:1.2.2-2
alsa-utils 1.2.3-2
amd-ucode 20200901.r1699.d5f9eea-1
android-tools 30.0.3-1
arandr 0.1.10-4
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
bash 5.0.018-1
biber 1:2.14-2
binutils 2.35-2
bison 3.6.4-1
bluez 5.54-2
bluez-utils 5.54-2
bmenu 0.13-1
brave 1.12.105-1
btrfs-progs 5.7-1
bzip2 1.0.8-3
clang 10.0.1-1
clipit 1:1.4.3-2
cloc 1.86-1
cmake 3.18.2-1
code 1.48.2-1
colorz 1.0.3-1
compton-tryone-git 0.1_beta2.95.g241bbc5-1
coreutils 8.32-1
cpupower 5.7-1
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.3-1
device-mapper 2.02.187-3
dfc 3.1.1-3
dhclient 4.4.2-2
dhcpcd 9.2.0-1
diffutils 3.7-3
discord 0.0.12-0
dmidecode 3.2-2
dmraid 1.0.0.rc16.3-12
dnsmasq 2.82-2
dosfstools 4.1-3
e2fsprogs 1.45.6-2
ecryptfs-utils 111-4
efibootmgr 17-2
eslint 7.8.1-1
ethtool 1:5.7-1
exfat-utils 1.3.0-2
f2fs-tools 1.14.0-1
fakeroot 1.24-2
feh 3.5-1
file 5.39-1
filesystem 2020.05-1
findutils 4.7.0-2
firefox 80.0.1-1
flameshot 0.6.0-4
flex 2.6.4-3
fonts-kalam 2.001-1
gamehub 0.16.0.1-1
gawk 5.1.0-1
gcc 10.2.0-2
gcc-libs 10.2.0-2
gcolor2 0.4-9
gconf 3.2.6+11+g07808097-7
gdb 9.2-1
gettext 0.21-1
gimp 2.10.20-1
gitflow-avh 1.12.3-1
glibc 2.32-4
glm 0.9.9.8-1
gnome-icon-theme 3.12.0-6
gnome-keyring 1:3.36.0-1
gnome-terminal 3.36.2-1
gnome-tweaks 3.34.0-2.1
gnu-free-fonts 20120503-8
gpick 0.2.6rc1-8
grep 3.4-1
groff 1.22.4-3
gtk3 1:3.24.23-1
gvfs 1.44.1-4
gvfs-afc 1.44.1-4
gvfs-gphoto2 1.44.1-4
gvfs-mtp 1.44.1-4
gvfs-smb 1.44.1-4
gzip 1.10-3
haveged 1.9.13-1
homesick 1.1.6-1
htop 3.0.1-1
i3-default-artwork 20190912-1
i3lock-color 2.12.c.5-1
inetutils 1.9.4-8
intel-ucode 20200616-1
inxi 3.1.05+2-1
iproute2 5.8.0-1
iptables 1:1.8.5-2
iputils 20190709-3
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
jfsutils 1.1.15-7
json-c 0.15-1
jupyter-notebook 6.1.1-1
kvantum-manjaro 0.13.5-1
less 551-3
lib32-libva-vdpau-driver 0.7.4-6
lib32-mesa-vdpau 20.1.7-1
lib32-vulkan-intel 20.1.7-1
lib32-vulkan-radeon 20.1.7-1
libtool 2.4.6+42+gb88cebd5-14
libva-mesa-driver 20.1.7-1
libva-vdpau-driver 0.7.4-4
licenses 20200427-1
lightdm-settings 1.3.3-1
lightdm-slick-greeter 1.3.2-1
linux-firmware 20200901.r1699.d5f9eea-1
linux419 4.19.144-1
linux54 5.4.64-1
logrotate 3.17.0-1
lsb-release 1.4-13
lvm2 2.02.187-3
lxappearance 0.6.3-3
lxinput 0.3.5-3
m4 1.4.18-3
magnum-git 2020.06.r15.gaf73929c6-1
maia-console 1.2-6
make 4.3-3
man-db 2.9.3-1
man-pages 5.08-1
manjaro-hotfixes 2018.08-6
manjaro-i3-settings 20200804-1
manjaro-settings-manager 0.5.6-10
manjaro-system 20200906-1
manjaro-zsh-config 0.12-1
markdown_previewer 0.r6.64ad4d7-1
mdadm 4.1-2
memtest86+ 5.01-4
mesa-demos 8.4.0-4
mesa-vdpau 20.1.7-1
mhwd 0.6.5-1
mhwd-db 0.6.4-12
minecraft 2.1.16102-2
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-5
mobile-broadband-provider-info 20190618-2
moc 1:2.5.2-3
modemmanager 1.14.2-1
morc_menu 1.0-2
mousepad 0.4.2-3
nano 5.2-1
nautilus 3.36.3-1
ncdu 1.15.1-2
neovim 0.4.4-1
network-manager-applet 1.18.0-1
networkmanager 1.26.2-1
networkmanager-openconnect 1.2.6-2
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-2
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.1-1
nlohmann-json 3.9.1-1
node 0.3.2-3
nss-mdns 0.14.1-3
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
open-fuse-iso 1.1-1
openresolv 3.11.0-1
openssh 8.3p1-4
os-prober 1.77-1
p7zip 16.02-6
pacman 5.2.2-2
pacutils 0.10.0-1
patch 2.7.6-8
patchutils 0.3.4-4
pciutils 3.7.0-1
pcmanfm 1.3.1-2
peek 1.5.1-3
perl 5.32.0-1
perl-file-mimeinfo 0.29-4
pkgconf 1.7.3-1
polkit-gnome 0.105-5
polybar 3.4.3-3
powertop 2.13-1
prettier 2.1.1-1
procps-ng 3.3.16-2
psmisc 23.3-2
pulseaudio-bluetooth 13.0-3
python-colorthief 0.2.1-1
python-haishoku 1.1.8-1
python-i3ipc 2.2.1-1
python-matplotlib 3.3.1-1
python-numpy 1.19.1-1
python-pillow 7.2.0-1
python-pip 20.1.1-1
python-pylint 2.5.3-2
python-pynvim 0.4.1-1
python-pyqt5 5.15.0-3
python-pywal 3.3.0-2
python-virtualenv 20.0.23-1
qt5-styleplugins 5.0.0.20170311-23
qt5ct 1.1-1
r-markdown 1.1-1
ranger 1.9.3.4.gd8c363c9-1
rawtherapee 1:5.8-1
refind-theme-maia r32.8e5f434-1
reiserfsprogs 3.6.27-3
rofi 1.6.0.r9.g6ba878e4-1
rsync 3.2.3-1
s-nail 14.9.19-2
screenfetch 3.9.1-1
sed 4.8-1
sfml 2.5.1-2
shadow 4.8.1-4
simplescreenrecorder 0.4.2-1
smartmontools 7.1-3
spectre-meltdown-checker 0.43-1
speedtest-cli 2.1.2-2
spotify 1:1.1.10.546-4
steam-manjaro 1.0.0.66-1
sudo 1.9.2-1
sysfsutils 2.1.0-11
syslog-ng 3.29.1-1
systemd 246.4-1
systemd-fsck-silent 239-1
systemd-sysvcompat 246.4-1
tar 1.32-3
terminus-font 4.48-3
texinfo 6.7-3
texlive-bibtexextra 2020.55376-1
texlive-core 2020.55416-1
texlive-fontsextra 2020.55407-1
texlive-formatsextra 2020.54498-1
texlive-games 2020.55271-1
texlive-humanities 2020.55389-1
texlive-latexextra 2020.55418-1
texlive-music 2020.54758-2
texlive-pictures 2020.55342-1
texlive-pstricks 2020.55289-1
texlive-publishers 2020.55415-1
texlive-science 2020.55390-1
tidy 5.7.16-2
tk 8.6.10-2
tlp 1.3.1-2
tree 1.8.0-2
ttf-bitstream-vera 1.10-14
ttf-bree-serif 1.002-1
ttf-material-design-icons-git v5.4.55.r0.ga4e603c-1
ufw 0.36-3
upower 0.99.11-3
usbutils 012-2
util-linux 2.36-3
vi 1:070224-4
viewnior 1.7-3
vim 8.2.1634-1
vlc 3.0.11.1-2
volumeicon 0.5.1-5
vulkan-intel 20.1.7-1
vulkan-radeon 20.1.7-1
w3m 0.5.3.git20200507-2
wget 1.20.3-3
which 2.21-5
wmutils 1:1.4-1
wpa_supplicant 2:2.9-7
wpgtk-git r775.26b1b21-1
xautolock 2.2-6
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-3
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 0.30.0-1
xf86-input-void 1.4.1-5
xf86-video-amdgpu 19.1.0-2
xf86-video-ati 1:19.1.0-2
xf86-video-intel 1:2.99.917+908+g7181c5a4-1
xf86-video-nouveau 1.0.16-2
xfce4-power-manager 1.6.6-1
xfsprogs 5.7.0-3
